facility_name,address,city,state,zip_code,phone_number,facility_type,type_of_care,regulation_status,capacity,serves_dhs_children,head_start,relief_nursery,qris_stars,location,lon,lat
Harmony Montessori School,10525 SE Cherry Blossom DR,Portland,OR,97216,5032555337,Center,Regulated  Center (not HS),Certified,123,Unknown,No,No,2,"10525 SE Cherry Blossom DR Portland, OR 97216",-122.5549886,45.5155795
Children's Song,8036 SE Mill St,Portland,OR,97215,5037745912,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2,"8036 SE Mill St Portland, OR 97215",-122.5803885,45.509953
Galina's Daycare,4738 SE 115th Ave,Portland,OR,97266,9717128213,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,3,"4738 SE 115th Ave Portland, OR 97266",-122.54425,45.4875874
Dimphie's Day School,1445 SE 158th Ave,Portland,OR,97233,5032576175,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,2,"1445 SE 158th Ave Portland, OR 97233",-122.5009519,45.5125505
SUN Community School - Gilbert Heights Elementary School,12839 SE Holgate Blvd,Portland,OR,97236-3909,5032566502,Center,Exempt Center,Recorded,20,Unknown,No,No,NA,"12839 SE Holgate Blvd Portland, OR 97236-3909",-122.5317728,45.4904251
Tinker Tots Child Care,21320 SE Yamhill St,Gresham,OR,97030,5036675308,Certified,Regulated Family Child Care Home,Certified,8,Yes,No,No,NA,"21320 SE Yamhill St Gresham, OR 97030",-122.4435516,45.5159584
,628 N Saratoga St Apt B,Portland,OR,97217-1677,5039279409,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2,"628 N Saratoga St Apt B Portland, OR 97217-1677",-122.6735507,45.57243159999999
Albina Head Start Audrey Sylvia Center,241 N Alberta St,Portland,OR,97217,5035468648,Center,Head Start/Early HS,Certified,20,Yes,Yes,No,5,"241 N Alberta St Portland, OR 97217",-122.6685648,45.5594675
SUN Community School - Floyd Light Middle School,10800 SE Washington St,Portland,OR,97216,5032566511,Center,Exempt Center,Recorded,20,Unknown,No,No,NA,"10800 SE Washington St Portland, OR 97216",-122.5517939,45.5173232
SUN Community School - Marysville,7733 SE Raymond St,Portland,OR,97206,5039166363,Center,Exempt Center,Recorded,20,Unknown,No,No,NA,"7733 SE Raymond St Portland, OR 97206",-122.5838743,45.4868569
,12704 SE Sherman St,Portland,OR,97233,9717171228,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,2,"12704 SE Sherman St Portland, OR 97233",-122.5324172,45.5057477
Albina Head Start - Lexington Court Center,7858 SE 72nd Ave,Portland,OR,97206,5037712036,Center,Head Start/Early HS,Certified,20,Yes,Yes,No,5,"7858 SE 72nd Ave Portland, OR 97206",-122.58779,45.466524
Olga's day care,34735 SE Hurlburt Rd,Corbett,OR,97019,5039288389,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"34735 SE Hurlburt Rd Corbett, OR 97019",-122.3057964,45.5102937
PCC Sylvania Child Dev Center,12000 SW 49th Ave,Portland,OR,97219,9717224424,Center,Head Start/Early HS,Certified,50,Yes,Yes,No,2,"12000 SW 49th Ave Portland, OR 97219",-122.7310045,45.43843589999999
Kindercare - Powell 300902,16915 SE Naegeli Dr,Portland,OR,97236,5036615145,Center,Regulated  Center (not HS),Certified,89,Yes,No,No,2,"16915 SE Naegeli Dr Portland, OR 97236",-122.4889495,45.4917351
,3014 SW Florida St,Portland,OR,97219-1835,5039643938,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"3014 SW Florida St Portland, OR 97219-1835",-122.7084285,45.4746544
