tract_id,county,Diversity Index,Median Household Income,Population Under 18
41049970100,Morrow,74.7,42364,30.3
41049970200,Morrow,26.6,65294,22.3
41007950100,Clatsop,42.4,39438,22.3
41007950200,Clatsop,21.2,47621,16.3
41007950300,Clatsop,46.8,39737,20.8
41007950400,Clatsop,17.1,69333,20.1
41007950500,Clatsop,25.1,31622,22.5
41007950600,Clatsop,24.8,64375,24
41007950700,Clatsop,26.3,72188,17.9
41007951300,Clatsop,15.3,63300,18
41007951200,Clatsop,20.8,58958,22.6
41007950900,Clatsop,39.5,42663,19.3
41007951100,Clatsop,35.8,28426,17.7
41003010200,Benton,20.9,82102,23.4
41003000600,Benton,40.1,37667,22.1
41003010100,Benton,19.2,84956,23.3
41003000500,Benton,19,74833,17.7
41003000100,Benton,44.4,37390,20.1
41003010400,Benton,29.6,65781,21
41003010300,Benton,16.1,81354,17.9
41003000900,Benton,32.1,113214,16.1
41003000400,Benton,31.1,100956,20.8
41003001001,Benton,61.7,50208,20.4
41003001002,Benton,35.8,55357,15.1
41003001101,Benton,37.8,53807,2
41003001102,Benton,39.2,38167,5.7
41003000202,Benton,28.8,96023,20
41003010702,Benton,42.6,48621,8.1
41003010800,Benton,31,65898,25.8
41003010600,Benton,45.6,23958,3.5
41003010900,Benton,30,94853,22.8
41027950100,Hood River,65.8,51250,24.6
41027950200,Hood River,43.4,84543,24.2
41027950300,Hood River,55.2,43796,26.3
41027950400,Hood River,70.7,46034,27.2
41059951400,Umatilla,19,52667,23.8
41059950500,Umatilla,33.5,55313,23.6
41059950200,Umatilla,74.5,34875,29.9
41059950700,Umatilla,37.5,37458,23.3
41059950900,Umatilla,72.1,37454,29.9
41059951100,Umatilla,64.6,40243,28.6
41059950800,Umatilla,69.2,47917,23.4
41059950100,Umatilla,36.6,54327,20
41059951000,Umatilla,72,48043,30.9
41059950400,Umatilla,36.5,78571,18.6
41071030400,Yamhill,23.5,71580,23.8
41071030900,Yamhill,59.9,52500,28.3
41071031000,Yamhill,37.5,49345,25.2
41071030702,Yamhill,58.3,38325,26.5
41071030801,Yamhill,65.6,41715,25.2
41071030802,Yamhill,62.3,20000,19.5
41071030501,Yamhill,57,62670,16
41071030202,Yamhill,58.6,33368,26.6
41071030502,Yamhill,39.6,44808,28.2
41071030701,Yamhill,43.1,74255,24.9
41071030201,Yamhill,49.9,38167,19.4
41071030302,Yamhill,18.6,108000,20.7
41071030102,Yamhill,29.7,76674,27.1
41071030602,Yamhill,41.3,78098,26.7
41071030601,Yamhill,61.5,45694,25.5
41071030101,Yamhill,30,69167,23.4
41071030301,Yamhill,41.1,75378,27.3
41059940000,Umatilla,61.1,58438,25
41059951200,Umatilla,71.4,48517,31.4
41059951300,Umatilla,66.1,44000,28.8
41059950300,Umatilla,27.9,61667,25
41059950600,Umatilla,38.5,75360,23.6
41057960200,Tillamook,15.9,37917,12.7
41057960300,Tillamook,23.3,44327,17.5
41057960700,Tillamook,20.9,67143,19.4
41057960100,Tillamook,21.9,29861,14.3
41057960400,Tillamook,42,43429,24.4
41057960500,Tillamook,49.6,40954,23.7
41057960600,Tillamook,23.3,57031,17.6
41057960800,Tillamook,28.1,35469,17.2
41039000404,Lane,32,55370,21.7
41029002800,NA,20.2,NA,NA
41029002900,NA,20.5,NA,NA
41029001700,NA,44.8,NA,NA
41029000602,NA,34.2,NA,NA
41029000700,NA,42.7,NA,NA
41029000800,NA,46.7,NA,NA
41029001200,NA,39.8,NA,NA
41029001302,NA,58.3,NA,NA
41029001500,NA,16.3,NA,NA
41029001301,NA,54.6,NA,NA
41029000300,NA,58.9,NA,NA
41029001100,NA,31.9,NA,NA
41029000601,NA,28.7,NA,NA
41029002500,NA,20.4,NA,NA
41029002100,NA,20.6,NA,NA
41029002200,NA,21.2,NA,NA
41029000900,NA,32.5,NA,NA
41029002400,NA,36.2,NA,NA
41029002700,NA,19.2,NA,NA
41029003001,NA,19.3,NA,NA
41029001800,NA,28.8,NA,NA
41029000203,NA,59.3,NA,NA
41029002600,NA,23.3,NA,NA
41029001400,NA,26.7,NA,NA
41039004800,Lane,40.5,11711,8.9
41039001202,Lane,25.9,58287,20.6
41039001500,Lane,24.3,40500,19
41039001801,Lane,30.7,57292,25.9
41039000200,Lane,15.2,58068,17
41039003202,Lane,41.6,31652,18.7
41039001400,Lane,19.7,44821,19.1
41039000300,Lane,27.3,74559,22.2
41039003600,Lane,30.6,101594,15.1
41039000403,Lane,28.8,41574,24.3
41039003400,Lane,49.3,22250,23
41039001600,Lane,22.1,58088,19.3
41039000100,Lane,17.8,44806,16
41039002102,Lane,50.3,30231,21.4
41053020204,Polk,23,58561,22.4
41053020203,Polk,24,54125,26
41053020400,Polk,38.8,44167,21.8
41053020302,Polk,69.5,52308,29.6
41053005202,Polk,41.7,64311,25.7
41053005201,Polk,39.3,73155,27
41029002000,NA,26.7,NA,NA
41029003002,NA,19.9,NA,NA
41029000100,NA,69.6,NA,NA
41029002300,NA,18.4,NA,NA
41029000202,NA,67.6,NA,NA
41029001900,NA,42.3,NA,NA
41029000201,NA,67.6,NA,NA
41029000406,NA,41.3,NA,NA
41039000902,Lane,16.4,56250,17.4
41039001002,Lane,24.5,67234,17.4
41039003500,Lane,31.8,64115,24.1
41039004401,Lane,50.3,43461,23.1
41039001001,Lane,16.5,80361,17.6
41039004300,Lane,47.4,37717,22
41039004200,Lane,51.2,30625,15.9
41039001201,Lane,27.7,51250,19.9
41039003102,Lane,43.2,87188,13.5
41039005300,Lane,26.4,45956,18.3
41039002800,Lane,41,55774,21.1
41053005100,Polk,64.4,22264,27.4
41053020202,Polk,27.3,52118,22.7
41053005300,Polk,35.2,112409,21.7
41053020304,Polk,49.5,74276,20.8
41053020303,Polk,47.8,78142,12.8
41053020500,Polk,21,62466,24.3
41029000502,NA,45.1,NA,NA
41029001002,NA,40.3,NA,NA
41029000404,NA,26.2,NA,NA
41029001602,NA,50.2,NA,NA
41029001601,NA,59.6,NA,NA
41029000501,NA,44.5,NA,NA
41029000403,NA,23.9,NA,NA
41029000405,NA,41.4,NA,NA
41029001001,NA,35.3,NA,NA
41039003800,Lane,45.8,0,1.4
41039004000,Lane,42.8,33262,13.6
41039002401,Lane,24.7,89615,20.9
41039001904,Lane,43.7,26750,21
41039002600,Lane,43.3,50306,22.4
41039001804,Lane,28.7,69271,26.3
41039001101,Lane,28.9,65577,22.9
41039001102,Lane,21.2,51176,22.9
41039002903,Lane,28.5,104688,19.8
41039002301,Lane,36.7,34471,24.1
41039004501,Lane,34.9,31250,9.5
41039003301,Lane,50.6,24695,23.1
41039000706,Lane,16.3,36140,10.8
41039002403,Lane,25.5,72432,22.4
41039002700,Lane,43.1,43485,25.4
41039005400,Lane,25.5,94199,18.8
41039002501,Lane,39,49321,25.5
41039001903,Lane,44.2,46630,27.9
41039003900,Lane,41,26938,4.2
41039001700,Lane,19,79457,18.4
41039000903,Lane,23,66750,22.2
41039000702,Lane,16.9,64375,13.7
41039001301,Lane,23.3,30679,19.9
41039000402,Lane,23.4,45000,16.3
41039004403,Lane,53,26203,20.3
41039002001,Lane,25.5,85339,19.5
41039004100,Lane,28.5,54028,18.2
41039002202,Lane,29.4,95481,23.4
41039000904,Lane,25.4,48519,23
41039003101,Lane,32.7,47432,21.4
41039002101,Lane,43.8,24167,22.9
41039001302,Lane,26.2,45969,24.6
41039000800,Lane,17.1,43348,18.1
41039000500,Lane,15.3,51875,16.5
41039005100,Lane,35.6,51250,16.9
41039005200,Lane,22.5,78333,16.1
41039004700,Lane,26.8,83611,15
41039004900,Lane,27.8,116630,13.5
41039004600,Lane,29.6,53750,17.1
41039002002,Lane,37.5,55938,22
41039005000,Lane,30.6,63412,19.6
41039002404,Lane,34.2,63493,22.7
41039002902,Lane,32.3,49438,21.9
41039002201,Lane,25.9,62143,16.4
41039003201,Lane,46.7,32474,25.8
41039003000,Lane,27.7,70602,16.1
41039001902,Lane,48.5,34024,28.6
41039001803,Lane,27,61369,23.1
41039003700,Lane,38.3,88438,3.5
41039002302,Lane,31.8,64756,25
41039000708,Lane,20.7,50588,12.4
41039000707,Lane,22.4,51957,12.6
41025960200,Harney,19.4,41875,22.9
41039002504,Lane,48.9,39750,26
41039004405,Lane,28.3,79721,20.5
41039003302,Lane,44.5,15458,18.2
41039002904,Lane,35.4,55541,12.7
41039004502,Lane,43.8,27462,13.4
41039000705,Lane,26.2,37404,14.2
41039002503,Lane,40.8,63231,25.3
41039004404,Lane,31.1,83833,19
41063960200,Wallowa,11.5,46250,19.9
41063960300,Wallowa,13.6,55417,19.2
41063960100,Wallowa,12.6,49107,15.4
41013950400,Crook,16.6,38802,16
41013950100,Crook,27.5,51094,24.2
41013950200,Crook,28.3,50536,22.5
41013950300,Crook,32.3,45701,20.7
41025960100,Harney,26.1,45139,21.5
41041950800,Lincoln,32,28542,16.6
41041950900,Lincoln,55.2,44077,23.9
41041951000,Lincoln,60.6,24861,18.4
41041951100,Lincoln,40.7,73269,14.4
41041951200,Lincoln,18.4,78194,15.4
41041950100,Lincoln,24.8,49922,17.5
41041950400,Lincoln,48.7,29750,17.5
41041951800,Lincoln,44.8,65184,21.7
41041951300,Lincoln,22.4,74659,19.4
41041951400,Lincoln,26,23852,23.4
41041951500,Lincoln,14.4,72692,10.1
41041951600,Lincoln,20.8,74643,15
41041951700,Lincoln,22.6,48125,9.8
41041950602,Lincoln,23.9,58534,9.3
41041950304,Lincoln,47.5,85118,17.5
41041950303,Lincoln,31.4,112756,13.1
41041950601,Lincoln,20.2,64490,11.3
41015950100,NA,20.3,NA,NA
41015950302,NA,27.1,NA,NA
41015950301,NA,29.7,NA,NA
41015950200,NA,21,NA,NA
41015950400,NA,33.3,NA,NA
41051001202,Multnomah,25.2,130577,15.4
41051001301,Multnomah,27.2,70167,10.9
41051001302,Multnomah,29.3,87143,15
41051001400,Multnomah,30.4,85893,14.8
41051001500,Multnomah,23.4,83750,18.8
41051001601,Multnomah,40.5,79948,15.9
41051001602,Multnomah,64.2,35764,21.1
41051001701,Multnomah,49.7,69038,17.1
41051001702,Multnomah,57,44464,19.4
41021960100,Gilliam,17.2,39167,18.3
41061970600,Union,20.1,64375,21.4
41061970100,Union,14.9,46172,21.1
41061970300,Union,19.5,52031,23.6
41061970200,Union,16.1,47857,23.2
41061970400,Union,16.3,49342,22
41051001801,Multnomah,43.1,38831,15.6
41051001802,Multnomah,27,79063,15.4
41051001900,Multnomah,22.9,133194,23.2
41051002000,Multnomah,29.2,36333,8.6
41051002100,Multnomah,37.8,33417,6.4
41051002401,Multnomah,35.4,130313,22.5
41051002402,Multnomah,35,84688,7.8
41051002501,Multnomah,23.2,145313,25.1
41051002502,Multnomah,33.2,82262,14.3
41061970700,Union,32.9,29534,17.5
41061970500,Union,25.3,41250,23.9
41061970800,Union,27.5,38667,24.2
41051002600,Multnomah,20.4,106316,23.6
41051002701,Multnomah,23.8,128625,25
41051002702,Multnomah,31.1,90875,15
41051002801,Multnomah,29.8,103125,19.4
41051002802,Multnomah,33.8,84688,18
41051002901,Multnomah,41.6,50833,16.8
41051002902,Multnomah,44.3,52173,17.7
41051003000,Multnomah,33.1,102008,18.4
41051003100,Multnomah,34.8,109643,19.8
41051003200,Multnomah,45.2,75714,18.7
41051003301,Multnomah,66.5,25234,17
41051003302,Multnomah,53,75345,17.7
41051003401,Multnomah,68.2,13517,19.9
41051003402,Multnomah,63.8,49121,16.4
41051003501,Multnomah,53.3,62768,16.3
41051003502,Multnomah,38.4,85323,14.9
41051003601,Multnomah,69.2,48333,18.8
41051003602,Multnomah,61.1,51586,17.6
41051003603,Multnomah,58.7,46346,15.8
41051003701,Multnomah,67.3,63929,19
41009970200,Columbia,18.8,67097,22
41009970400,Columbia,14.4,76094,20.2
41009970900,Columbia,24.6,61587,23.8
41009970300,Columbia,20.3,53750,20.5
41009970500,Columbia,18.9,77549,21.7
41009970600,Columbia,18.9,75776,22.7
41009970700,Columbia,28,42844,25.1
41009970800,Columbia,29.6,65893,26.3
41009971000,Columbia,23.2,70208,22.6
41009971100,Columbia,16.6,63661,23.7
41051003702,Multnomah,51.4,75795,18.3
41051003801,Multnomah,52,64145,17.5
41051003802,Multnomah,50.1,22115,16.7
41051003803,Multnomah,53.8,60577,17.7
41051003901,Multnomah,71.4,53192,24.4
41051003902,Multnomah,38.4,64681,16.5
