hub_name,address,region,website,lon,lat
Blue Mountain Early Learning Hub,"2001 SW Nye Ave Pendleton, OR 97801","Morrow, Umatilla, Union",https://bluemountainearlylearninghub.org/,-118.8031341,45.65375359999999
Clackamas Early Learning Hub,"150 Beavercreek Road, Oregon City, OR 97045",Clackamas,https://earlylearninghubofclackamascounty.org/,-122.5988442,45.3340338
Early Learning Hub of Central Oregon,2804 SW 6th St Redmond OR 97756,"Crook, Deschutes, Jefferson",https://earlylearninghubco.org,-121.1732177,44.2500077
"Early Learning Hub of Linn, Benton, and Lincoln Counties","6500 Pacific Blvd. SW Albany, OR  97321","Benton, Lincoln, Linn",https://lblearlylearninghub.org,-123.1157674,44.58849439999999
Early Learning Multnomah,"619 SW 11th Ave. Portland, OR 97205",Multnomah,http://www.earlylearningmultnomah.org,-122.6831717,45.5207405
Early Learning Washington County,"20665 SW Blanton Street Aloha, OR 97078",Washington,https://www.co.washington.or.us/HHS/ChildrenYouthFamilies/,-122.8895485,45.4930438
Eastern Oregon Community Based Services Hub,"363 A St W, Vale, OR 97918","Baker, Malheur, Wallowa",https://www.malesd.k12.or.us/eastern-oregon-hub,-117.2428867,43.98163760000001
Four Rivers Early Learning Hub,"400 East Scenic Drive, The Dalles, OR 97058","Gilliam, Hood River, Sherman, Wasco, Wheeler",https://4relh.org/,-121.1893441,45.5906302
Frontier Early Learning Hub,"25 Fairview Hts, Burns OR 97720",Harney,https://harneyesd.sharpschool.com/e_c_c/harney_grant_frontier_hub,-119.0737123,43.5818819
Lane Early Learning Alliance,"3171 Gateway Loop, Springfield, OR 97477",Lane,https://earlylearningalliance.org,-123.0448276,44.0790444
Marion and Polk Early Learning Hub,"2995 Ryan Drive SE, Salem, Oregon 97301","Marion, Polk",https://parentinghub.org,-123.0000861,44.9201104
Northwest Early Learning Hub,"5825 NE Ray Circle Hillsboro, Oregon","Clatsop, Columbia, Tillamook",http://nwelhub.org/,-122.9228282,45.5325909
South Coast Regional Early Learning Hub,"1855 Thomas Avenue Coos Bay, OR 97420","Coos, Curry",https://www.screlhub.com/,-124.2549149,43.3902613
South-Central Oregon Early Learning Hub,"1409 NE Diamond Lake Blvd, Roseburg, OR 97470","Douglas, Klamath, Lake",https://douglasesd.k12.or.us/early-learning-hub/home,-123.3405825,43.2126974
Southern Oregon Early Learning Services,"101 North Grape Street, Medford OR 97501","Jackson, Josephine",https://www3.soesd.k12.or.us/southernoregonlearninghub/,-122.8763735,42.32606029999999
Yamhill Early Learning Hub,"807 NE Third Street McMinnville, OR 97128",Yamhill,https://yamhillcco.org/early-learning-hub/,-123.1906295,45.2101134
