iid,name,county.x,street_str_addr1,street_city,street_state,street_zip,street_zip4,attending_district_institutional_id,district,school,x2017_18_total_enrollment,x2018_19_total_enrollment,x2018_19_american_indian_alaska_native,x2018_19_percent_american_indian_alaska_native,x2018_19_asian,x2018_19_percent_asian,x2018_19_native_hawaiian_pacific_islander,x2018_19_percent_native_hawaiian_pacific_islander,x2018_19_black_african_american,x2018_19_percent_black_african_american,x2018_19_hispanic_latino,x2018_19_percent_hispanic_latino,x2018_19_white,x2018_19_percent_white,x2018_19_multiracial,x2018_19_percent_multiracial,address,lon,lat,county.y,district_id,district_name,institution_name,institution_type,student_group_type,student_group,approaches_to_learning_self_regulation_score,approaches_to_learning_interpersonal_skills_score,approaches_to_learning_total_score_score,approaches_to_learning_n,math_avg_number_correct_score,math_n,literacy_uppercase_letter_names_number_correct_score,literacy_uppercase_letter_names_number_correct_n,literacy_lowercase_letter_names_number_correct_score,literacy_lowercase_letter_names_number_correct_n,literacy_letter_sounds_number_correct_score,literacy_letter_sounds_number_correct_n
1,Baker Middle School,Baker,2320 Washington Ave,Baker City,OR,97814,1599,1894,Baker SD 5J,Baker Middle School,229,265,5,0.01887,3,0.01132,,0,,0,26,0.09811,217,0.81887,14,0.05283,2320 Washington Ave Baker City OR 97814,-117.8349063,44.7774493,,,,,,,,,,,,,,,,,,,
2,Brooklyn Primary School,Baker,1350 Washington St,Baker City,OR,97814,2933,1894,Baker SD 5J,Brooklyn Primary School,450,439,5,0.01139,3,0.00683,,0,1,0.00228,39,0.08884,365,0.83144,26,0.05923,1350 Washington St Baker City OR 97814,-117.8212385,44.7773273,Baker,1894,Baker SD 5J,Brooklyn Primary School,School,Total Population,Total Population,3.1,3.3,3.2,103,10.6,100,13.2,100,10.9,100,6.6,100
4,Haines Elementary School,Baker,400 School St,Baker City,OR,97814,,1894,Baker SD 5J,Haines Elementary School,149,155,1,0.00645,1,0.00645,,0,,0,12,0.07742,135,0.87097,6,0.03871,400 School St Baker City OR 97814,-117.934215,44.9141097,Baker,1894,Baker SD 5J,Haines Elementary School,School,Total Population,Total Population,4.1,4.5,4.2,16,13.5,16,21.7,16,20.1,16,19.8,16
5,Keating Elementary School,Baker,41964 Miles Bridge Rd,Baker City,OR,97814,6081,1894,Baker SD 5J,Keating Elementary School,25,28,,0,,0,,0,,0,5,0.17857,20,0.71429,3,0.10714,41964 Miles Bridge Rd Baker City OR 97814,-117.5907455,44.8746689,Baker,1894,Baker SD 5J,Keating Elementary School,School,Total Population,Total Population,,,,,,,,,,,,
7,South Baker Intermediate School,Baker,1285 Third St,Baker City,OR,97814,4204,1894,Baker SD 5J,South Baker Intermediate School,346,370,8,0.02162,,0,,0,1,0.0027,39,0.10541,300,0.81081,22,0.05946,1285 Third St Baker City OR 97814,-117.8338491,44.7706782,,,,,,,,,,,,,,,,,,,
8,Baker High School,Baker,2500 E St,Baker City,OR,97814,1599,1894,Baker SD 5J,Baker High School,452,438,3,0.00685,8,0.01826,,0,1,0.00228,48,0.10959,358,0.81735,20,0.04566,2500 E St Baker City OR 97814,-117.837949,44.7876493,,,,,,,,,,,,,,,,,,,
15,Pine Eagle Charter School,Baker,375 North Main St,Halfway,OR,97834,8153,1897,Pine Eagle SD 61,Pine Eagle Charter School,195,206,,0,,0,,0,,0,25,0.12136,174,0.84466,7,0.03398,375 North Main St Halfway OR 97834,-117.1136701,44.8818416,Baker,1897,Pine Eagle SD 61,Pine Eagle Charter School,School,Total Population,Total Population,3.8,4,3.9,10,13.6,10,20.7,10,17.9,10,15.8,10
17,Alsea Charter School,Benton,301 S Third,Alsea,OR,97324,0,1899,Alsea SD 7J,Alsea Charter School,158,226,,0,3,0.01327,,0,2,0.00885,25,0.11062,182,0.80531,14,0.06195,301 S Third Alsea OR 97324,-123.5946008,44.3812429,Benton,1899,Alsea SD 7J,Alsea Charter School,School,Total Population,Total Population,2,2.6,2.2,7,9,7,13.1,7,12,7,4.1,7
18,Blodgett Elementary School,Benton,35177 Tum Tum Rd,Blodgett,OR,97326,0,1900,Philomath SD 17J,Blodgett Elementary School,28,33,,0,,0,,0,2,0.06061,3,0.09091,26,0.78788,2,0.06061,35177 Tum Tum Rd Blodgett OR 97326,-123.528545,44.59082,Benton,1900,Philomath SD 17J,Blodgett Elementary School,School,Total Population,Total Population,3.5,3.9,3.6,7,11.3,7,13.3,7,9.4,7,3,7
20,Philomath Elementary School,Benton,239 S 16th St,Philomath,OR,97370,9422,1900,Philomath SD 17J,Philomath Elementary School,370,378,2,0.00529,2,0.00529,1,0.00265,1,0.00265,32,0.08466,319,0.84392,21,0.05556,239 S 16th St Philomath OR 97370,-123.3625672,44.5377245,,,,,,,,,,,,,,,,,,,
