Facility Name,Address,City,State,Zip Code,Phone Number,Facility Type,Type of Care,Regulation Status,Capacity,Serves DHS Children,Head Start,Relief Nursery,QRIS Stars
Harmony Montessori School,10525 SE Cherry Blossom DR,Portland,OR,97216,5032555337,Center,Regulated  Center (not HS),Certified,123,Unknown,No,No,2
Children's Song,8036 SE Mill St,Portland,OR,97215,5037745912,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2
Galina's Daycare,4738 SE 115th Ave,Portland,OR,97266,9717128213,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,3
Dimphie's Day School,1445 SE 158th Ave,Portland,OR,97233,5032576175,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,2
SUN Community School - Gilbert Heights Elementary School,12839 SE Holgate Blvd,Portland,OR,97236-3909,5032566502,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Tinker Tots Child Care,21320 SE Yamhill St,Gresham,OR,97030,5036675308,Certified,Regulated Family Child Care Home,Certified,8,Yes,No,No,.
,628 N Saratoga St Apt B,Portland,OR,97217-1677,5039279409,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
Albina Head Start Audrey Sylvia Center,241 N Alberta St,Portland,OR,97217,5035468648,Center,Head Start/Early HS,Certified,20,Yes,Yes,No,5
SUN Community School - Floyd Light Middle School,10800 SE Washington St,Portland,OR,97216,5032566511,Center,Exempt Center,Recorded,20,Unknown,No,No,.
SUN Community School - Marysville,7733 SE Raymond St,Portland,OR,97206,5039166363,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,12704 SE Sherman St,Portland,OR,97233,9717171228,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,2
Albina Head Start - Lexington Court Center,7858 SE 72nd Ave,Portland,OR,97206,5037712036,Center,Head Start/Early HS,Certified,20,Yes,Yes,No,5
Olga's day care,34735 SE Hurlburt Rd,Corbett,OR,97019,5039288389,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
PCC Sylvania Child Dev Center,12000 SW 49th Ave,Portland,OR,97219,9717224424,Center,Head Start/Early HS,Certified,50,Yes,Yes,No,2
Kindercare - Powell 300902,16915 SE Naegeli Dr,Portland,OR,97236,5036615145,Center,Regulated  Center (not HS),Certified,89,Yes,No,No,2
,3014 SW Florida St,Portland,OR,97219-1835,5039643938,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Imagination Station Daycare Center,7119 N Portsmouth Ave,Portland,OR,97203,5032830229,Center,Regulated  Center (not HS),Certified,46,Yes,No,No,.
Little Angels Academy,2016 N Kilpatrick St,Portland,OR,97217,5032896000,Center,Regulated  Center (not HS),Certified,14,Yes,No,No,.
,11836 SE Market St,Portland,OR,97216,5032611499,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
,6143 SE Sherman St,Portland,OR,97215,5037881188,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Precious Teddies Daycare,4635 N Kerby Ave,Portland,OR,97217,5032812381,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,3
KinderCare Learning Center at Kroger Fred Meyer,2215 SE Gladstone St,Portland,OR,97202,5032312993,Center,Regulated  Center (not HS),Certified,107,Yes,No,No,.
,10214 SE Ellis St,Portland,OR,97266-4342,5037723082,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,10544 SW 64th Dr,Portland,OR,97219,5032459647,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Sun Fern Montessori Children's House,2936 SE 78th Ave,Portland,OR,97206,5037751011,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,.
Eva's Day Care,9801 NE Wygant St,Portland,OR,97220,5033603963,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
KCE Champions - Hollydale,505 SW Birdsdale Dr,Gresham,OR,97080,5037013488,Center,Regulated  Center (not HS),Certified,39,Yes,No,No,2
Little Genius Montessori,3200 NE Hogan Dr,Gresham,OR,97030,5034928500,Center,Regulated  Center (not HS),Certified,85,Yes,No,No,.
Little Friends Day School,18805 SE Division St,Gresham,OR,97030,5036180032,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
,423 SE 143rd Ave Apt 2,Portland,OR,97233,5034968600,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,4624 SE 127th Ave,Portland,OR,97236-3710,5034966977,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
The Jackson Club,10625 SW 35th Ave,Portland,OR,97219,5033131805,Center,Regulated  Center (not HS),Certified,6,Unknown,No,No,.
YMCA - Laurelhurst,840 NE 41st Ave,Portland,OR,97232,5038492712,Center,Regulated  Center (not HS),Certified,68,Unknown,No,No,2
,3912 SE 174th Ave,Portland,OR,97236,5038199020,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
,5070 SE Chase Rd,Gresham,OR,97080,5036634585,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Albina Early Head Start - Normandale/Owen Blank,909 NE 52nd Ave,Portland,OR,97213,5032846267,Center,Head Start/Early HS,Certified,40,Yes,Yes,No,5
Children At Heart Daycare,5324 SE Powell Valley Rd,Gresham,OR,97080,5036673888,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,2
,18649 NE Multnomah St,Portland,OR,97230-7975,9712210816,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
"Gymstars, LLC",2016 NW Birdsdale Ave,Gresham,OR,97030-3510,5036660999,Center,Exempt Center,Recorded,50,Unknown,No,No,.
Today's Little Scholars Childcare,5817 N Michigan Ave,Portland,OR,97217,8003858594,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,3
SUN Community School - Centennial Middle,17650 SE Brooklyn St,Portland,OR,97236,5037623206,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,17437 SE Grant Lane,Portland,OR,,5037610462,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,2130 SE 113th Ave,Portland,OR,97216-3621,5032528570,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
,10839 SE Clinton St,Portland,OR,97266,5037608153,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
Portland Kinderschule,St Barnabas Episcopal Church 2201 SW Vermont St,Portland,OR,97219,5036644732,Center,Exempt Center,Recorded,12,Unknown,No,No,.
The Portland Montessori School,205 NE 50th Ave,Portland,OR,97213,5036882992,Center,Regulated  Center (not HS),Certified,183,Yes,No,No,2
Mt. Hood Community College Head Start - Earl Boyles,10822 SE Bush Street,Portland,OR,,5034916111,Center,Head Start/Early HS,Exempt,24,Unknown,Yes,No,.
Stumptown Kids,2702 SE 80th Ave,Portland,OR,97206,5039574593,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,4
Village Childcare Mississippi,3508A N Michigan Ave,Portland,OR,97227-1143,5032864859,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2
ASPSU Children's Center,1825 SW Broadway,Portland,OR,97201-3256,5037252971,Center,Head Start/Early HS,Certified,44,Unknown,Yes,No,.
Gabriel Park Preschool,5815 SW Gillcrest Ct,Portland,OR,97221,5032443518,Center,Exempt Center,Recorded,16,Unknown,No,No,.
St Clare Preschool & Day Care,1812 SW Spring Garden St,Portland,OR,97219,5032445458,Center,Regulated  Center (not HS),Certified,68,Unknown,No,No,2
OCDC - Anderson,2727 SE Anderson Rd,Gresham,OR,97080-8287,5036630896,Center,Regulated  Center (not HS),Certified,164,Unknown,No,No,5
Cindy's Daycare,1119 SW Doolittle Ct,Troutdale,OR,97060,9713224583,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Mt Hood Community College Head Start - Division,18630 SE Division St,Gresham,OR,97030,5036677867,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,5
,6020 SE 140th Ave,Portland,OR,97236-4410,5036797616,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Joy Central,8815 NE Glisan St,Portland,OR,97220-5861,5032521426,Center,Regulated  Center (not HS),Certified,115,Yes,No,No,.
ABC University Preschool at Linnton Community Center,10614 NW Saint Helens Rd,Portland,OR,97231,5035684385,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,2
Woodward Montessori,3214 SE Woodward St,Portland,OR,97202,5032454866,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
SUN Community School - Lynch View Elementary,1546 SE 169th Pl,Portland,OR,97233,5037623203,Center,Exempt Center,Recorded,45,Unknown,No,No,.
,20021 NE Hoyt St,Portland,OR,97230,5036699058,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Art 4 Life - Abernathy,2421 SE Orange Ave,Portland,OR,97214,5039166190,Center,Regulated  Center (not HS),Certified,90,Unknown,No,No,.
Rose City Neighborhood Preschool,5830 NE Alameda St,Portland,OR,97213,5032811229,Center,Exempt Center,Recorded,17,Unknown,No,No,.
,2821 SE 129th Ave,Portland,OR,97236,5032581904,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Green Apple Family Childcare,3426 NE 88th Ave,Portland,OR,97220-5133,5032387044,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
SUN Community School - James John Elementary,7439 N Charleston Ave,Portland,OR,97203,5039166266,Center,Exempt Center,Recorded,80,Unknown,No,No,.
