OBJECTID,GEOID10,County,WCh18,WOCH18,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,DIVINDX_CY,x,y
1,41049970100,Morrow,42364,54730,5845,71,111,94,15,1924,228,74.7,,
2,41049970200,Morrow,65294,59583,2954,5,37,10,0,134,94,26.6,,
3,41007950100,Clatsop,39438,61696,2719,18,51,67,2,206,93,42.4,,
4,41007950200,Clatsop,47621,59167,3433,28,26,61,2,40,107,21.2,,
5,41007950300,Clatsop,39737,56700,2587,60,50,66,23,155,147,46.8,,
6,41007950400,Clatsop,69333,64514,3341,17,46,26,6,37,84,17.1,,
7,41007950500,Clatsop,31622,40096,4405,26,68,56,37,88,137,25.1,,
8,41007950600,Clatsop,64375,66477,2350,23,22,21,3,68,78,24.8,,
9,41007950700,Clatsop,72188,57656,1931,6,14,19,3,71,53,26.3,,
10,41007951300,Clatsop,63300,65042,2216,8,16,27,1,17,59,15.3,,
11,41007951200,Clatsop,58958,44787,2900,8,28,25,3,34,91,20.8,,
12,41007950900,Clatsop,42663,61563,3992,43,46,50,4,258,147,39.5,,
14,41007951100,Clatsop,28426,69137,4103,13,33,67,7,287,102,35.8,,
15,41003010200,Benton,82102,83958,3797,18,39,58,3,33,141,20.9,,
16,41003000600,Benton,37667,54453,4134,89,41,202,19,201,204,40.1,,
17,41003010100,Benton,84956,78793,8086,49,63,153,14,83,205,19.2,,
18,41003000500,Benton,74833,84551,3002,19,13,91,3,18,94,19,,
19,41003000100,Benton,37390,54792,6036,109,53,248,25,369,304,44.4,,
20,41003010400,Benton,65781,66328,3492,13,37,25,3,152,88,29.6,,
21,41003010300,Benton,81354,72222,3027,5,37,24,0,28,96,16.1,,
22,41003000900,Benton,113214,88281,4579,36,26,372,19,87,176,32.1,,
23,41003000400,Benton,100956,96302,6945,86,38,621,8,88,244,31.1,,
24,41003001001,Benton,50208,70375,2980,49,59,205,19,411,157,61.7,,
25,41003001002,Benton,55357,64050,2717,31,18,213,7,74,136,35.8,,
26,41003001101,Benton,53807,21510,3126,49,34,369,11,49,149,37.8,,
27,41003001102,Benton,38167,60250,3817,58,23,461,14,76,210,39.2,,
28,41003000202,Benton,96023,70350,4619,55,31,304,13,70,179,28.8,,
29,41003010702,Benton,48621,57344,2871,73,27,387,32,63,162,42.6,,
30,41003010800,Benton,65898,66719,3154,26,45,26,0,118,138,31,,
31,41003010600,Benton,23958,25913,4322,91,59,541,37,152,273,45.6,,
32,41003010900,Benton,94853,92882,4376,67,18,239,13,77,178,30,,
33,41027950100,Hood River,51250,65441,3299,26,74,54,18,675,158,65.8,,
34,41027950200,Hood River,84543,66927,6067,27,32,133,9,447,192,43.4,,
35,41027950300,Hood River,43796,75250,5134,41,43,80,5,451,187,55.2,,
36,41027950400,Hood River,46034,53036,4375,28,49,51,13,988,212,70.7,,
37,41059951400,Umatilla,52667,51250,2237,0,39,9,1,37,78,19,,
38,41059950500,Umatilla,55313,61538,3892,20,91,43,10,171,160,33.5,,
39,41059950200,Umatilla,34875,46186,5380,40,63,42,2,1860,210,74.5,,
40,41059950700,Umatilla,37458,60789,2108,7,115,16,4,86,111,37.5,,
41,41059950900,Umatilla,37454,62768,3271,27,51,22,3,997,99,72.1,,
42,41059951100,Umatilla,40243,64864,4486,51,64,66,21,928,160,64.6,,
43,41059950800,Umatilla,47917,63654,5982,171,110,43,10,1317,281,69.2,,
44,41059950100,Umatilla,54327,53102,3799,5,44,42,1,250,100,36.6,,
45,41059951000,Umatilla,48043,69781,4681,45,86,64,6,1333,194,72,,
46,41059950400,Umatilla,78571,82768,5539,173,179,89,9,160,157,36.5,,
47,41071030400,Yamhill,71580,75404,7412,23,78,59,14,163,249,23.5,,
48,41071030900,Yamhill,52500,60448,3653,18,51,37,1,607,133,59.9,,
49,41071031000,Yamhill,49345,81328,3632,26,100,26,6,200,158,37.5,,
50,41071030702,Yamhill,38325,50769,5997,46,96,79,11,923,282,58.3,,
51,41071030801,Yamhill,41715,63400,4014,43,84,62,7,878,213,65.6,,
52,41071030802,Yamhill,20000,38365,3563,80,57,142,20,472,213,62.3,,
53,41071030501,Yamhill,62670,60143,4876,362,236,117,59,466,275,57,,
54,41071030202,Yamhill,33368,53036,5159,63,79,74,14,805,224,58.6,,
55,41071030502,Yamhill,44808,51464,4284,35,359,108,3,126,252,39.6,,
56,41071030701,Yamhill,74255,70759,6827,41,99,132,16,601,200,43.1,,
57,41071030201,Yamhill,38167,64167,5061,58,58,202,24,520,224,49.9,,
58,41071030302,Yamhill,108000,97292,2088,6,2,25,1,28,43,18.6,,
59,41071030102,Yamhill,76674,81850,6997,57,50,138,8,289,213,29.7,,
60,41071030602,Yamhill,78098,77341,5377,41,54,114,22,371,172,41.3,,
61,41071030601,Yamhill,45694,52222,2839,22,50,22,5,497,155,61.5,,
62,41071030101,Yamhill,69167,82181,5194,24,27,157,6,183,194,30,,
