OBJECTID,ID,DMAP,x,y
1,41001950100,753,,
2,41001950200,1822,,
3,41001950300,1616,,
4,41001950400,1656,,
5,41001950500,1689,,
6,41001950600,752,,
7,41003000100,3358,,
8,41003000202,1013,,
9,41003000400,1471,,
10,41003000500,693,,
11,41003000600,2531,,
12,41003000900,986,,
13,41003001001,2380,,
14,41003001002,858,,
15,41003001101,673,,
16,41003001102,992,,
17,41003010100,1762,,
18,41003010200,1117,,
19,41003010300,892,,
20,41003010400,1546,,
21,41003010600,1409,,
22,41003010702,499,,
23,41003010800,1978,,
24,41003010900,904,,
25,41005020100,467,,
26,41005020200,753,,
27,41005020302,792,,
28,41005020303,846,,
29,41005020304,684,,
30,41005020401,758,,
31,41005020403,278,,
32,41005020404,359,,
33,41005020501,1012,,
34,41005020503,239,,
35,41005020504,741,,
36,41005020505,356,,
37,41005020600,1861,,
38,41005020700,856,,
39,41005020800,1616,,
40,41005020900,1639,,
41,41005021000,1589,,
42,41005021100,2028,,
43,41005021200,1652,,
44,41005021300,2291,,
45,41005021400,1681,,
46,41005021500,1282,,
47,41005021601,3657,,
48,41005021602,2931,,
49,41005021700,2603,,
50,41005021801,1233,,
51,41005021802,2169,,
52,41005021900,1843,,
53,41005022000,2014,,
54,41005022101,2798,,
55,41005022103,1847,,
56,41005022105,1994,,
57,41005022107,2193,,
58,41005022108,2170,,
59,41005022201,3525,,
60,41005022205,743,,
61,41005022206,1358,,
62,41005022207,1288,,
63,41005022208,1320,,
64,41005022301,1279,,
65,41005022302,2122,,
66,41005022400,2086,,
67,41005022500,3494,,
68,41005022602,779,,
69,41005022603,1484,,
70,41005022605,2643,,
71,41005022606,983,,
72,41005022702,699,,
73,41005022707,1479,,
74,41005022708,1480,,
75,41005022710,772,,
76,41005022800,495,,
77,41005022901,827,,
78,41005022904,1684,,
79,41005022905,1207,,
80,41005022906,1230,,
81,41005022907,2566,,
82,41005023001,951,,
83,41005023002,726,,
84,41005023100,1384,,
85,41005023201,1197,,
86,41005023202,1256,,
87,41005023300,1074,,
88,41005023401,1528,,
89,41005023403,1695,,
90,41005023404,2231,,
91,41005023500,2427,,
92,41005023600,1127,,
93,41005023700,1286,,
94,41005023800,1997,,
95,41005023901,1911,,
96,41005023902,2480,,
97,41005024000,1010,,
98,41005024100,1477,,
99,41005024200,2464,,
100,41005024302,2196,,
101,41005024303,966,,
102,41005024304,656,,
103,41005024400,2121,,
104,41005980000,133,,
105,41007950100,1470,,
106,41007950200,1678,,
107,41007950300,1772,,
108,41007950400,1217,,
109,41007950500,2391,,
110,41007950600,958,,
111,41007950700,660,,
112,41007950900,3373,,
113,41007951100,1919,,
114,41007951200,1426,,
115,41007951300,837,,
116,41009970200,2535,,
117,41009970300,1879,,
118,41009970400,1031,,
119,41009970500,2057,,
120,41009970600,1500,,
121,41009970700,2899,,
122,41009970800,3575,,
123,41009970900,1551,,
124,41009971000,1283,,
125,41009971100,1573,,
126,41011000100,2780,,
127,41011000200,1215,,
139,41013950100,3700,,
140,41013950200,2546,,
141,41013950300,3610,,
142,41013950400,1905,,
148,41017000100,283,,
149,41017000200,3118,,
150,41017000300,4295,,
151,41017000401,2246,,
152,41017000402,776,,
153,41017000500,1733,,
154,41017000600,1629,,
155,41017000700,3907,,
156,41017000800,3556,,
157,41017000900,5765,,
158,41017001001,6704,,
159,41017001002,979,,
160,41017001100,3394,,
161,41017001200,2424,,
162,41017001300,2305,,
163,41017001400,1375,,
164,41017001500,3704,,
165,41017001600,3262,,
166,41017001700,3604,,
167,41017001800,4782,,
168,41017001901,719,,
169,41017001902,3350,,
170,41017002000,3254,,
171,41017002100,4608,,
172,41019010000,1402,,
173,41019020000,1928,,
174,41019030000,1724,,
175,41019040000,1439,,
176,41019050001,2026,,
178,41019060000,922,,
182,41019100000,1783,,
194,41021960100,703,,
195,41023960100,760,,
196,41023960200,2150,,
197,41025960100,2885,,
198,41025960200,656,,
199,41027950100,2258,,
200,41027950200,2369,,
201,41027950300,2917,,
202,41027950400,3398,,
244,41031940000,2954,,
245,41031960100,834,,
246,41031960201,3535,,
247,41031960202,4087,,
248,41031960301,1160,,
249,41031960302,2428,,
266,41035970100,1366,,
286,41037960100,1183,,
288,41039000100,1866,,
289,41039000200,1667,,
290,41039000300,795,,
291,41039000402,1039,,
292,41039000403,2406,,
293,41039000404,2049,,
294,41039000500,1080,,
295,41039000702,1014,,
296,41039000705,2249,,
297,41039000706,944,,
298,41039000707,1504,,
299,41039000708,1105,,
300,41039000800,759,,
301,41039000902,1622,,
302,41039000903,2151,,
303,41039000904,1754,,
304,41039001001,964,,
305,41039001002,1846,,
306,41039001101,2074,,
307,41039001102,1998,,
308,41039001201,2433,,
309,41039001202,2032,,
310,41039001301,1496,,
311,41039001302,3444,,
312,41039001400,1103,,
313,41039001500,2744,,
314,41039001600,2244,,
315,41039001700,1854,,
316,41039001801,2290,,
317,41039001803,1903,,
318,41039001804,1276,,
319,41039001902,4964,,
320,41039001903,2225,,
321,41039001904,3594,,
322,41039002001,977,,
323,41039002002,2515,,
324,41039002101,2010,,
325,41039002102,4984,,
326,41039002201,796,,
327,41039002202,1463,,
328,41039002301,1974,,
329,41039002302,1519,,
330,41039002401,896,,
331,41039002403,1205,,
332,41039002404,1835,,
333,41039002501,2768,,
334,41039002503,3134,,
335,41039002504,1876,,
336,41039002600,3908,,
337,41039002700,2296,,
338,41039002800,2456,,
339,41039002902,1850,,
340,41039002903,619,,
341,41039002904,946,,
342,41039003000,1247,,
343,41039003101,1922,,
344,41039003102,2656,,
345,41039003201,2421,,
346,41039003202,2202,,
347,41039003301,2384,,
348,41039003302,2649,,
349,41039003400,4164,,
350,41039003500,1878,,
351,41039003600,1907,,
352,41039003700,524,,
353,41039003800,2037,,
354,41039003900,2033,,
355,41039004000,1676,,
356,41039004100,2011,,
357,41039004200,3753,,
358,41039004300,4910,,
359,41039004401,3931,,
360,41039004403,3805,,
361,41039004404,834,,
362,41039004405,823,,
363,41039004501,1391,,
364,41039004502,1951,,
365,41039004600,1084,,
366,41039004700,1375,,
367,41039004800,1771,,
368,41039004900,740,,
369,41039005000,1629,,
370,41039005100,1282,,
371,41039005200,497,,
372,41039005300,746,,
373,41039005400,1042,,
374,41041950100,2086,,
375,41041950303,535,,
376,41041950304,2029,,
377,41041950400,2918,,
378,41041950601,942,,
379,41041950602,902,,
380,41041950800,1879,,
381,41041950900,1758,,
382,41041951000,1777,,
383,41041951100,802,,
384,41041951200,699,,
385,41041951300,1243,,
386,41041951400,1778,,
387,41041951500,1039,,
388,41041951600,1846,,
389,41041951700,953,,
390,41041951800,2230,,
391,41043020100,3818,,
392,41043020200,715,,
393,41043020300,3075,,
394,41043020400,4323,,
395,41043020500,2293,,
396,41043020600,3438,,
397,41043020700,3161,,
398,41043020801,1865,,
399,41043020802,4200,,
400,41043030100,2166,,
401,41043030200,2562,,
402,41043030300,1143,,
403,41043030401,4191,,
404,41043030402,4486,,
405,41043030500,1540,,
406,41043030600,2795,,
407,41043030700,1319,,
408,41043030800,5239,,
409,41043030902,3538,,
410,41043030903,3455,,
411,41043030904,2809,,
413,41045970200,2542,,
414,41045970300,2717,,
415,41045970400,5990,,
416,41045970500,3491,,
417,41045970600,2236,,
418,41045970700,685,,
419,41045970900,1501,,
420,41047000200,1898,,
421,41047000300,4509,,
422,41047000400,5182,,
423,41047000501,2881,,
424,41047000502,5218,,
425,41047000600,2832,,
426,41047000701,4990,,
427,41047000900,3813,,
428,41047001000,3840,,
429,41047001100,1925,,
430,41047001200,1680,,
431,41047001300,1268,,
432,41047001401,2321,,
433,41047001402,2505,,
434,41047001501,1435,,
435,41047001502,2981,,
436,41047001503,3882,,
437,41047001601,4574,,
438,41047001602,9244,,
439,41047001603,3553,,
440,41047001604,7483,,
441,41047001701,5459,,
442,41047001702,3005,,
443,41047001703,2366,,
444,41047001801,5364,,
445,41047001802,5304,,
446,41047001803,2156,,
447,41047002000,3335,,
448,41047002101,1139,,
449,41047002102,3093,,
450,41047002201,510,,
451,41047002202,2512,,
452,41047002301,1020,,
453,41047002303,2780,,
454,41047002304,1697,,
455,41047002400,477,,
456,41047002501,2614,,
457,41047002502,3633,,
458,41047002600,553,,
459,41047002700,2441,,
460,41047002800,1574,,
461,41047010100,384,,
462,41047010201,720,,
463,41047010202,3407,,
464,41047010303,2985,,
465,41047010304,5286,,
466,41047010305,3188,,
467,41047010306,7072,,
468,41047010307,2321,,
469,41047010400,2545,,
470,41047010501,1533,,
471,41047010502,2638,,
472,41047010503,1538,,
473,41047010600,1103,,
474,41047010701,4425,,
475,41047010702,2254,,
476,41047010801,2508,,
477,41047010802,2648,,
478,41049970100,4960,,
479,41049970200,950,,
480,41051000100,1267,,
481,41051000200,1821,,
482,41051000301,1187,,
483,41051000302,835,,
484,41051000401,939,,
485,41051000402,1268,,
486,41051000501,1644,,
487,41051000502,2647,,
488,41051000601,3943,,
489,41051000602,3593,,
490,41051000701,2065,,
491,41051000702,2498,,
492,41051000801,1341,,
493,41051000802,1668,,
494,41051000901,1051,,
495,41051000902,2176,,
496,41051001000,2106,,
497,41051001101,1293,,
498,41051001102,378,,
499,41051001201,1685,,
