OBJECTID,GEOID10,County,TOTPOP_CY,POP18UNDER_CY,POP18UNDER_PCT,x,y
1,41049970100,Morrow,8288,2508,30.3,,
2,41049970200,Morrow,3234,720,22.3,,
3,41007950100,Clatsop,3156,705,22.3,,
4,41007950200,Clatsop,3697,603,16.3,,
5,41007950300,Clatsop,3088,641,20.8,,
6,41007950400,Clatsop,3557,715,20.1,,
7,41007950500,Clatsop,4817,1082,22.5,,
8,41007950600,Clatsop,2565,615,24,,
9,41007950700,Clatsop,2097,376,17.9,,
10,41007951300,Clatsop,2344,423,18,,
11,41007951200,Clatsop,3089,699,22.6,,
12,41007950900,Clatsop,4540,874,19.3,,
14,41007951100,Clatsop,4612,816,17.7,,
15,41003010200,Benton,4089,957,23.4,,
16,41003000600,Benton,4890,1079,22.1,,
17,41003010100,Benton,8653,2016,23.3,,
18,41003000500,Benton,3240,572,17.7,,
19,41003000100,Benton,7144,1436,20.1,,
20,41003010400,Benton,3810,802,21,,
21,41003010300,Benton,3217,577,17.9,,
22,41003000900,Benton,5295,855,16.1,,
23,41003000400,Benton,8030,1673,20.8,,
24,41003001001,Benton,3880,792,20.4,,
25,41003001002,Benton,3196,482,15.1,,
26,41003001101,Benton,3787,76,2,,
27,41003001102,Benton,4659,267,5.7,,
28,41003000202,Benton,5271,1055,20,,
29,41003010702,Benton,3615,293,8.1,,
30,41003010800,Benton,3507,904,25.8,,
31,41003010600,Benton,5475,192,3.5,,
32,41003010900,Benton,4968,1131,22.8,,
33,41027950100,Hood River,4304,1060,24.6,,
34,41027950200,Hood River,6907,1674,24.2,,
35,41027950300,Hood River,5941,1560,26.3,,
36,41027950400,Hood River,5716,1557,27.2,,
37,41059951400,Umatilla,2401,571,23.8,,
38,41059950500,Umatilla,4387,1035,23.6,,
39,41059950200,Umatilla,7597,2271,29.9,,
40,41059950700,Umatilla,2447,569,23.3,,
41,41059950900,Umatilla,4470,1336,29.9,,
42,41059951100,Umatilla,5776,1652,28.6,,
43,41059950800,Umatilla,7914,1855,23.4,,
44,41059950100,Umatilla,4241,850,20,,
45,41059951000,Umatilla,6409,1983,30.9,,
46,41059950400,Umatilla,6306,1171,18.6,,
47,41071030400,Yamhill,7998,1900,23.8,,
48,41071030900,Yamhill,4500,1274,28.3,,
49,41071031000,Yamhill,4148,1046,25.2,,
50,41071030702,Yamhill,7434,1971,26.5,,
51,41071030801,Yamhill,5301,1337,25.2,,
52,41071030802,Yamhill,4547,888,19.5,,
53,41071030501,Yamhill,6391,1022,16,,
54,41071030202,Yamhill,6418,1708,26.6,,
55,41071030502,Yamhill,5167,1455,28.2,,
56,41071030701,Yamhill,7916,1971,24.9,,
57,41071030201,Yamhill,6147,1194,19.4,,
58,41071030302,Yamhill,2193,454,20.7,,
59,41071030102,Yamhill,7752,2098,27.1,,
60,41071030602,Yamhill,6151,1641,26.7,,
61,41071030601,Yamhill,3590,914,25.5,,
62,41071030101,Yamhill,5785,1352,23.4,,
63,41071030301,Yamhill,9823,2678,27.3,,
